Title,Plot
Transatlantic Merry-Go-Round,"Gangster Lee Lother (Sidney Blackmer) is shot and killed during an ocean liner cruise, and we're introduced in flashback to the interwoven stories and characters of the suspects: con-man and jewel-thief Jimmy Brett and his accomplice, a wife who bids goodbye to her husband without realizing he'll stowaway to spy on her, the star of the ship's entertainment revue and her brother with gambling debts, and the Inspector who interrupts his vacation to solve the case.
The film's many musical numbers include a Busby Berkeley-like number with chorus girls in geometric patterns filmed from overhead. A song performed by The Boswell Sisters titled ""Rock and Roll"", written by Richard A. Whiting and Sidney Clare, is sometimes credited as the first use of that term in a popular song,[1] although in this case the lyrics referred to the motion of the ocean.[2]"
Disbarred,"Tyler Craden is disbarred by the legal profession after destroying evidence against his client, gangster Mardeen, following the murder of a cop.
While on vacation, Craden ends up in a town where a murder trial is taking place. He is impressed by defense attorney Joan Carroll and gets her a job with a firm run by Roberts, a corrupt pal of his.
Bradley Kent, an honest prosecutor, is both rival and suitor to Joan. She rejects marriage proposals from Kent and Craden both, but joins the district attorney's office to fight crime. Mardeen turns up and tries to blackmail Craden, who shoots him. The DA arrests Craden and Roberts, which frees Joan to continue her work and also to marry Kent."
Jallad No. 1,"Shankar (Dharmendra) is an executioner at a local police station. He could sense that an accused Joshi, who was sentenced to death, was an innocent person. Despite of his friend, Inspector Arjun's (Kiran Kumar) attempts to rescue Joshi, Shankar was forced to put him to death. Shankar, unable to bear the trauma, quit his job.
Shankar's family consisted of his wife, Kamla and sister, Geeta. There was a severe financial crunch at his place. Other employers wouldn't hire an ex-executioner as they were concerned about their own safety. He helped a group of criminals to find a treasure around his place, but the treasure turned out to be a trickery by an ex-gangman Takla Robert. Shankar put an end to Takla rescuing the criminals. The criminals were identified as Rapcha, Tillu, Katre and their leader, Shinde. Shinde was actively involved in the trade of arms and ammunition under the protection of Senior Inspector Dolkar (Deepak Shirke). Dolkar, in turn, was helped by a corrupt home minister.
In a desperate need for money to pay dowry, he approached Shinde (Shakti Kapoor) for a job. Shinde framed Shankar for his arms trade and was arrested by Inspector Arjun himself. The court sentenced him to prison. Since then, vengeance against the criminals was Shankar's prime objective.
Katre (Ishrat Ali) visited Shankar's house and gifted ₹10,000 to his wife and sister. However, they refused to take the money. Kamla 's health condition deteriorated and an urgent surgery had to be performed for which the fee was ₹10,000. Geeta approached Katre for the money. Katre, however, molested Geeta sexually and raped her. Geeta, unable to bear the trauma, consumed poison. Kamla was killed in the hospital bed by the corrupt home minister. Shankar vowed to kill everyone involved and also to assassinate the minister."
The Woman Knight of Mirror Lake,"The film tells the story of Qiu Jin and her involvement in revolutionary uprisings against the Qing Dynasty in Anhui province. Influences on her life are shown through a series of flashbacks. As a child, Qiu Jin resisted having her feet bound according to common practice, and instead pursued her interests to learn horse riding, martial arts and literature with her father and brother. Through her poetry, she expresses her sorrow at the weak state of the nation and the repression of women. Finding other like minded women in Beijing and then travelling to Japan to study reinforces her view that nationalist action is required to reform China.
Returning to China, Qiu Jin takes the position as Xu Xilin's lieutenant, assisting with the training of revolutionaries at the Datong school and plotting the revolution. Xu Xilin is later captured while executing the assassination of the governor, and Qiu Jin is captured when government forces storm the Datong school. Qiu Jin is tortured in an attempt to reveal other conspirators and she is later executed."
The Battle of Midway,"The film begins with a male narrator (Ray Milland) explaining where Midway Island is and its strategic importance. About five minutes into the film the format changes somewhat, with more leisurely pictures of the G.I.s at work on the island, and then a female voice over. The female voice over (Verna Felton) takes the personality of a middle aged woman from Springfield, Ohio, who is a mother-type figure pointing out how she recognizes a boy from her home town. The boy is Army Air Force pilot William E. ""Junior"" Kinney. Then stock footage of the Kinney family back home is introduced.
Abruptly the narrative turns to the battle itself with approximately five minutes dedicated to the defense of the island, the naval battle, and the aftermath. At the end the various known Japanese losses are shown (four aircraft carriers, battleships, aircraft etc.) and then brushed over with red paint."
Honolulu Lu,"In Hawaii, Consuelo Cordoba (Lupe Velez) is a risque nightclub act and due to her involvement with a group of sailors becomes a beauty queen."
All the Kind Strangers,"Children of a bootlegger in an extremely remote area of the U.S. have been orphaned when their mother died giving birth to the 7th of them at home and the distraught father fell off the roof of the house in a drunken stupor (information disseminated in the body of the film). The oldest child, desperate to keep the remainder of his family together, has managed to keep the fate of his parents secret from the surrounding community due to the nearly inaccessible locale, resources available to keep the farm running smoothly and well trained, vicious watchdogs. However, the minors feel need for guidance and are looking for replacement guardians going about it by sending the smaller, irresistibly cute moppets on errands requiring them to travel along local roads. The youngsters cajole people considerate enough to pick them up into taking them home. Guests are then maneuvered into staying so they can be put through an evaluation process at the end of which the children decide whether or not the candidates fit their idea of good parents. Those who do not cut muster are free to go, so says the oldest sibling and his word has never been doubted amongst the rest of the family. The new candidates for parenthood put up determined resistance and begin to exasperate the quietly tyrannical older child; but affection for the new couple and maturation are making the other children wonder about their method of choosing parental guidance and just where ""all the kind strangers"" are going when they leave.[1][2][3][4][5]"
Missamma,"Gopalam, the zamindar of Appapuram, is the principal of a high school named after his elder daughter Mahalakshmi. As a child, she went missing during a pilgrimage to the Godavari River pushkaram in Kakinada. Conditions at the school deteriorate due to mismanagement by Gopalam's nephew, A. K. Raju, an amateur detective. This is exacerbated when Panthulu, an ayurvedic doctor, teaches the children. Gopalam decides to replace them with a male and a female graduate (preferably a married couple) capable of training his younger daughter Sita in singing besides teaching children at the school.
Mahalakshmi was found and adopted by a Christian couple, Mr. and Mrs. Paul, who named her Mary. After graduation, Mary looks for a job to ease her family's financial situation. She accepts a loan from I. P. David, who offers to waive the debt if she marries him. Mary and her former colleague M. T. Rao decide to pose as a married couple and apply for the jobs at Gopalam's school. Devaiah, a con artist and a beggar, befriends them and Rao asks him to accompany them to Appapuram. They find accommodation in a small house behind Gopalam's bungalow. Unaware of her true identity, Mary decides to call herself Mahalakshmi.
Gopalam and his wife Ammi, jovial by nature, treat the couple like their own children. Although Mary finds the Hindu customs strange, she says nothing to Gopalam and Ammi because she needs her job to repay David. She vents her frustration to Rao and Devaiah, who bear it patiently. Although Sita wanted Mary to teach her music, Mary's short temper diminishes her confidence and Rao takes over her music lessons.
In desperation, Mary decides to tell the truth to Gopalam and Ammi. To save their jobs, Rao makes up a far-fetched story that Mary is possessed by the soul of a Christian woman named after the mother of Jesus. Gopalam lies that he will marry Sita off to Rao. Raju, like Gopalam, is unaware of Rao's deception. In love with Sita, he wants to keep Rao away from her and turns to Mary for help in teaching music (which ends in disaster). At the end of their first month at the school, Rao and Mary receive their salaries and Mary repays her debt.
Raju begins to suspect that Mary is the missing Mahalakshmi. When Ammi tells him that Mahalakshmi had a mole on her right foot, he plans to sneak into her room at night but the plan backfires when they awaken her. After dreaming that Rao rescues her from David, she begins to fall in love with him.
At the end of the next month, Mary wants to visit Madras and the Pauls. At first Rao asks her to stay, but her reluctance makes him change his mind and he plans to lie later that Mary died after an illness. Gopalam and Ammi misunderstand, thinking that Mary is pregnant; they host a party, and Mary is confused. The night before she is due to leave, Rao pretends his leg is broken in an attempt to delay her departure. David arrives in the morning and tells Raju that Mary, a Christian, is posing as a Hindu for the job. Raju retrieves a necklace, stolen by David from Mary's house in Madras, which Mahalakshmi was wearing when she disappeared.
David wants to marry Mary, but she declares her love for Rao. The Pauls arrive at Gopalam's house; Raju solves the mystery, and David is arrested. Although Mary learns that Gopalam and Ammi are her birth parents, she maintain her relationship with her foster family. Learning that Rao and Mahalakshmi are not yet married, Gopalam announces their wedding and that of Sita and Raju."
The Hangover: Part II,"Two years after the events of the first movie in Las Vegas, Stu Price, Phil Wenneck, Alan Garner and Doug Billings travel to Thailand to celebrate Stu's upcoming wedding to Lauren. Much to Alan's dismay, they are joined by Lauren's younger brother, Teddy. At the rehearsal dinner, Lauren's father reveals his disapproval of Stu during a toast. Later that night, Stu hesitantly joins Phil, Doug, Alan and Teddy for a beer. Sitting at a campfire and roasting marshmallows, the group toast to Stu and Lauren's future happiness.
The next morning, Phil, Stu and Alan, along with gangster Leslie Chow—whom Alan befriended after Las Vegas—and a chain-smoking capuchin monkey, awaken in a dirty hotel room in Bangkok. Stu has a face tattoo (a replica of Mike Tyson's) and Alan's head is completely shaved. They cannot find Teddy, and discover only his severed finger. Chow begins to relay the events of the prior night, but he seemingly dies after snorting a line of cocaine. Panicked, the trio dispose of Chow's body in an ice box.
Through a tip from Doug who is still at the resort (he left the campfire earlier than the others), they go to a police station to pick up Teddy but are given a wheelchair-bound elderly Buddhist monk, who knows more about what happened; however, he refuses to reveal anything, having taken a vow of silence. After finding a business card, they travel to the smoldering ruins of the business. They enter a nearby tattoo parlor where Stu got his tattoo, and they learn that they started a fight that escalated into a riot. The trio returns the monk to his Buddhist temple, where they are encouraged by the head monk to meditate. Alan is able to recall that they had been at the White Lion strip club, where they learn that Stu was sodomized by a kathoey stripper named Kimmy. Upon exiting, the trio are attacked by two Russian mobsters who steal the monkey, and one shoots Phil in his arm.
After Phil is treated at a clinic, Alan confesses that he had drugged some of the marshmallows from the previous night with muscle relaxers and ADHD medication in order to sedate Teddy but accidentally mixed up the bags. Phil and Stu become furious that Alan drugged them again. Stu blames Alan for ruining his life and attacks him. Phil breaks it up and tells them that they have to stick together. They notice something on Alan's stomach: an address and a time for a meeting. They meet a gangster named Kingsley, who demands Chow's bank account password by the next morning in exchange for Teddy. They return to the hotel to try to find Chow's password, only to discover that he is still alive. They steal the monkey (who had the code given to him and put inside his jacket for safe-keeping by Chow) back from the Russian mobsters through a violent car chase, during which the monkey is shot and injured. After taking the code and leaving the monkey at a veterinary clinic, the group completes the deal with Kingsley. Suddenly, Interpol agents appear and arrest Chow. Kingsley turns out to be an undercover agent, who tells the trio that the police had used the information that Teddy had disappeared to arrest Chow and Kingsley actually does not know where Teddy is.
Desperate and out of clues, Phil calls Doug's wife Tracy to tell her they can't find Teddy. Stu decides to call off the wedding and live in Bangkok and say that Teddy died. While Alan is playing a game of Pac-Man the power goes out again. Stu suddenly realizes where Teddy is. The trio rushes back to the hotel to find Teddy who is in the elevator unharmed (albeit still missing a finger). Teddy had woken up in the middle of the night to get more ice for his severed finger (after the first bucket of ice had melted) but became trapped after the power went out. The four use Chow's speedboat, the Perfect Life, the keys for which were in Teddy's pocket, to travel back to the wedding reception.
Arriving on land just as Lauren's father is about to cancel the wedding, Stu makes a defiant speech where he rejects being boring and instead states that he is in fact quite wild. Impressed, Lauren's father gives the couple his blessing. After they exchange their vows, Alan presents Stu with a special gift at the post-reception dance: a musical guest performance by Mike Tyson. Teddy later discovers that he had taken many pictures during the night on his cell phone. The group, along with Tyson, agree to look at the pictures together once (some of which reveal Teddy lost his finger playing the knife game) before erasing the evidence of their exploits once again."
Circle of Power,"Yvette Mimieux plays the chief executive of a giant corporation called ""Mystique"",[1] but the organization is also known as ""Executive Development Training"", or EDT.[2] Christopher Allport plays Jack Nilsson, a decent all-American young executive.[3]
Top management executives are required to spend a weekend with Bianca Ray at a hotel, where they are put under psychological pressure.[1] As a prerequisite to the training course, participants must sign a waiver giving the company the release to physically and psychologically abuse the individuals in the course.[3] The participants struggle with their shortcomings, such as obesity and alcoholism.[3] Another individual is a closet homosexual, and a fourth is a transvestite.[2] At one point in the film, the obese trainee is forced to eat trash and discarded food in front of the other seminar participants.[2] Eventually, the seminar executives and their wives lose their inhibitions later on in the ""consciousness-raising"" coursework.[4]"
Aval Varuvala,"Jeeva (Ajith Kumar) lives with his grandmother in Madurai, and says he would marry the girl he likes at first sight. He goes to Chennai after getting a job as a bank manager there. In a shopping mall, he gets a glimpse of Divya (Simran Bagga) and promptly falls in love. He identifies her scooter model and soon he goes on a mission in search of her to end up in a colony surrounded by comedians (Dhandabani (Goundamani), Michael Jackson (Senthil), Venniradai Moorthy, James Thomson (Dhamu), Savithri (Kovai Sarala)). The colony people mistakenly thought that Jeeva is trying to steal the scooter and therefore he lied that he was looking for a house to rent. Then, he agreed to stay in the colony after conforming that Divya and her mother Janaki (Sujatha) is residing in the colony.
From there on, Jeeva tries to impress Divya. The comedian’s gang found out that Jeeva is trying to approach Divya and agreed to help Jeeva. They ask Janaki’s opinion about Divya’s marriage. However, Divya refused the offer saying that she is not interested in getting married. A lonely sad, pathetic looking Janaki seemed to hide something. The gang gave few ideas to persuade Divya but all failed. Tired of fool ideas, Jeeva himself tell Janaki that he want to marry her daughter. Impressed by Jeeva’s good manner, Janaki advised Divya to accept him. Truthful to the expectations, Divya revealed that Janaki is actually her mother-in-law.
Knowing that Jeeva loves her, Divya insults him so that he would give up, but he didn’t. Every time Jeeva did well to her, it reminds her husband, Prithvi's (Babloo Prithviraj) cruelty and she started to compare them both. In a dramatic flashback, Prithvi is killed (so we think) by Divya when he encourages his friends to sexually abuse her. Believing the bad time is behind them, Janaki and Divya start a new life in a new town as a mother-and-daughter team. Divya falls in love with Jeeva with the help of the comedian gang. However, Janaki did not allow Divya to tell Jeeva about her past. The whole colony cheered by the news and arranged an engagement.
Prithvi returns for their betrothal to reclaim his possession. He blackmailed Divya to sleep with him one night before her marriage and ask Jeeva to sanction him a loan of Rs. 25 lakhs. Otherwise, he will reveal the truth to everyone. Somehow, Jeeva knows the truth and claimed to be proud to become Divya’s husband. This distracts Prithvi, who then decides to stop the marriage. What can a good mother do to stop the evil son? She poisons him and kills herself too for the sake of a peaceful life for her daughter-in-law."
Up the Yangtze,"The setting of the film is a riverboat cruise ship floating up the Yangtze river. Two young people are the focus of the film as they work aboard the ship. One is a sixteen-year-old girl from a particularly poor family living on the banks of the Yangtze near Fengdu, named ""Cindy"" Yu Shui. She is followed as she leaves her family to work on one of the cruise ships serving wealthy western tourists at the same time as her family is being forced from their home due to the flooding that accompanied the building of the dam. The film shows her acclimatization to the consumer economy of tourism as well as modern technology of the cruise ships, juxtaposed with her family and other older citizens who are displaced from a rural lifestyle to cities where they must pay for the vegetables they used to grow on their own.
The other main subject is a nineteen-year-old boy from a more prosperous family named ""Jerry"" Chen Bo Yu. Chen Bo Yu shows a different perspective from Yu Shui as he tries to earn cash on the ship as a porter and singer.
The film is rich in detail about ways of life, dreams, and aspirations, and seeks to provide a view into the reality of modern Chinese life."
A Midsummer Night's Dream,"Part one
A beautiful young woman named Hermia (Olivia de Havilland) is in love with Lysander (Dick Powell) and wishes to marry him. Her father Egeus (Grant Mitchell), however, has instructed her to marry Demetrius (Ross Alexander), whom he has chosen for her. When Hermia refuses to obey, stating she is in love with Lysander, her father invokes before Duke Theseus of Athens (Ian Hunter) an ancient Athenian law that states a daughter must marry the suitor chosen by her father, or else face death. Theseus offers her another choice—to live a life of chastity as a nun and worship the goddess Diana.
Meanwhile, Peter Quince (Frank McHugh) and his fellow players gather to produce a stage play about the cruel death of Pyramus and Thisbe in honor of the Duke and his upcoming marriage to Hippolyta (Verree Teasdale). Quince reads the names of characters and bestows them to the players. Nick Bottom (James Cagney), who is playing the main role of Pyramus, is overly-enthusiastic and suggests himself for the characters of Thisbe, the Lion, and Pyramus at the same time. He would also prefer being a tyrant and recites some lines of Ercles. Quince ends the meeting instructing his players to meet at the Duke's oak tree.
In the forest outside Athens, Oberon (Victor Jory), the king of the fairies, and Titania (Anita Louise) his queen, are having an argument. Titania tells Oberon that she plans to stay there to attend the wedding of Duke Theseus and Hippolyta. Oberon and Titania are estranged because she refuses to give her Indian changeling to Oberon for use as his knight, since the child's mother was one of Titania's worshippers. Wanting to punish Titania's disobedience, Oberon instructs his mischievous court jester Puck (Mickey Rooney) to retrieve a flower called ""love-in-idleness"". Originally a white flower, it turns purple when struck by Cupid's bow. When someone applies the magical love potion to a sleeping person's eyelids, it makes the victim fall in love with the first living creature seen upon awakening.
Oberon comes across a sleeping Titania and applies the love potion to her eyes. He intends to make Titania fall in love with the first creature she sees when waking up, which he is sure will be an animal of the forest. Oberon's intent is to shame Titania into giving up the little Indian changeling.
Meanwhile, Hermia and Lysander have escaped to the same forest in hopes of eloping. Demetrius, who is also in love with Hermia, pursues them into the forest. He is followed by Helena (Jean Muir), who is desperate to reclaim Demetrius' love. Helena continues to make advances towards Demetrius, promising to love him more than Hermia, but he rebuffs her with cruel insults. When Oberon sees this, he orders Puck to spread some of the love potion on the eyelids of Demetrius. When Puck later discovers the sleeping Lysander, he mistakes him for Demetrius—not having seen either before—and administers the love potion to the sleeping Lysander.
During the night, Helena comes across the sleeping Lysander and wakes him up while attempting to determine whether he is dead or asleep. When he lays eyes on her, Lysander immediately falls in love with Helena. Meanwhile, the mischievous Puck turns Bottom into a donkey. When Titania wakes up and lays eyes on Bottom as a donkey, she falls in love with him. Oberon finds the abandoned changeling and takes him away.
Part two
When Oberon sees Demetrius still following Hermia, he instructs Puck to bring Helena to him while he applies the love potion to the sleeping Demetrius' eyes. Upon waking up, Demetrius sees Helena, and now both Lysander and Demetrius are in love with Helena, who is convinced that her two suitors are simply mocking her. When Hermia encounters Helena with her two suitors, she accuses Helena of stealing Lysander away from her. The four quarrel with each other until Lysander and Demetrius become so enraged that they seek a place to duel each other to prove whose love for Helena is the greatest. Oberon orders Puck to keep Lysander and Demetrius from catching up with one another and to remove the charm from Lysander. After Puck applies the potion to the sleeping Lysander's eyes, he returns to loving Hermia, while Demetrius continues to love Helena. And Titania is still in love with Bottom the donkey.
Oberon leads all the fairies away with the changeling at his side. Having achieved his goals, Oberon releases Titania from her spell and they leave together in love once again. Following Oberon's instructions, Puck removes the donkey's head from Bottom, and arranges everything so that Hermia, Lysander, Demetrius, and Helena all believe that they have been dreaming when they awaken. Together they return from the forest to attend the wedding of Duke Theseus and Hippolyta. When Theseus sees Hermia and her father Egeus, and seeing that Demetrius does not love Hermia any more, Theseus overrules Egeus's demands and arranges a group wedding—Hermia to marry Lysander, and Helena to marry Demetrius. The lovers decide that the previous night's events must have been a dream.
That night at the wedding, they all watch Bottom and his fellow players perform Pyramus and Thisbe. Unprepared as they are, the performers are so terrible playing their roles, the guests laugh as if it were meant to be a comedy. Before the encore, the guests sneak away and retire to bed. Afterwards, Oberon, Titania, Puck, and the other fairies enter, and bless the house and its occupants with good fortune. After everyone leaves, Puck suggests to the audience that what they just experienced might be nothing but a dream."
Attack the Gas Station 2,"It's been 10 years since Mr. Park's gas station was attacked by motorcycle gangs. To get his revenge, Park hires a quartet of dodgy boys: a lethal puncher, a footballer with a killer high kick, a potbellied wrestler, and a video game addict who mastered the art of bluffing. But these employees turn out to be more dangerous when they demand their overdue salaries.[4]"
Desert Dancer,"Set in Iran, the story follows the ambition of Afshin Ghaffarian. During the volatile climate of the 2009 presidential election, Afshin and some friends (including Elaheh played by Freida Pinto) risk their lives and form an underground dance company. The group learned the dancing from videos of Michael Jackson, Gene Kelly and Rudolf Nureyev even though the online videos are banned. Afshin and Elaheh also learn much from each other and learned how to embrace their passion for dance and for one another.[4]"
Zenda,"The movie is based on actual life of party workers who have aligned their loyalty towards a particular political party and also loosely based on the most reputed and powerful political family of Balasaheb Thackeray.
It highlights the glorious past of party and strong organisation fighting for Marathi community in Maharashtra, India.
The storyline depicts the plight of party workers who have aligned their loyalty towards a particular political party based on its apex leader. When the leadership baton is passed on to the next generation, one of the new leaders breaks away from the core. What follows is the rift between friends who were once bonded together by the cause led by the party and now finding themselves opposing each other.
The movie also touches on the part where political images have been built completely based on media and PR exercises. Under pressure from the media campaign managers and in an attempt to please the monitory vote banks, the ideologies behind the parties are sacrificed, leaving the purists and youth betrayed.
Amongst the betrayed are also the youth who break away to establish themselves from under the shadow of the older leadership, only to find that their good work left aside when it is time for an election ticket allotment."
Amar Rahe Yeh Pyar,"Geeta (Nalini Jaywant) and Kishan (Chandan Kumar) are a happily married couple and expecting their first child. Kishan works with a contractor, Thomas, driving a truck to work. One day, he meets with an accident and dies. The grief makes Geeta lose her baby. Geeta is inconsolable and her brother Sewakram (Radha Kishan) tries his best to help her mourn and deal with her sorrow. He finds an abandoned infant and brings him to Geeta, hoping that by caring for him her maternal instincts will ease the pain. It's 1947 and communal riots have spread all over the city. Advocate Iqbal Hussain (Rajendra Kumar) and his wife Razia (Nanda), had left India for the newly formed Pakistan, but due to unforeseen circumstances, their infant boy was left behind. After five years spent in anguish over their missing son, Razia and Iqbal come back to India to look for their son. Eventually, they trace him to Geeta. The boy and mother refuse to be parted, but it is imposed on Geeta to give up the boy. Razia is unable to see the misery the parting is causing her son and Geeta. She makes the final sacrifice and returns with her husband to Pakistan, having left the boy behind in India with Geeta."
Little Miss Nobody,The caretaker of a Scottish castle tries to trick his aunt into believing that some of the guests are aristocrats.
A Touch of Class,"Vickie Allessio (Glenda Jackson) is a divorced British mother of two. Steve Blackburn (George Segal) is an American married man who ""has never cheated on his wife... in the same town."" After sharing a London taxi, Steve invites Vickie to tea, then lunch, then takes Vickie to a hotel room, hoping to have sex. Vickie admits she would like to have uncomplicated sex, but isn't impressed by the setting, wanting somewhere sunny. Steve arranges a trip to Málaga.
Steve's wife Gloria turns up just as they are about to go, with Vickie traveling as his ""mother."" He arranges plane tickets for his wife, children and in-laws. Once at the airport, Steve bumps into friend Walter Menkes (Paul Sorvino), an American movie producer. Unable to admit that he's with Vickie, Steve spends the flight next to Walter, and Vickie sits elsewhere.
On arrival in Málaga, Steve ends up giving the last decent car to Walter to get rid of him. He takes an Italian car with an awkward clutch, which he has trouble driving to Vickie's discomfort and annoyance. At the hotel, they end up struggling up several flights of stairs in order to a double room.
Once settled, the atmosphere becomes awkward, as both argue over their respective sides during sex. Steve is persuaded to just get on top of her, but turns suddenly and causes a spasm in his back. A doctor is called and Steve is put to sleep, while Vickie sleeps atop the bedding.
In the morning, Vickie bumps into an American lady, Patty (K Callan), but declines an invitation to dinner. Steve wakes up to find Vickie sunning herself in a bikini on the balcony. The two finally have sex.
Getting dressed after, Steve is disappointed in Vickie's lack of enthusiasm about their sex and becomes angered. During a game of golf, Vickie becomes offended by Steve's need to defeat a local boy, who has placed a bet with him while playing.
As the tension mounts between them, Vickie decides to go to dinner with Patty and Steve arranges dinner with Walter. When they arrive separately, Vickie discovers Patty is Walter's wife and the two are forced into an uncomfortable dinner with the couple. Steve becomes offended when Vickie is amused that Steve's daughter is fat and has crooked teeth. After an argument in the bedroom, Steve and Vickie decide to head back to London. Steve decides not to bother reserving any plane tickets, but at the airport the last two tickets have just been sold.
Returning to the hotel, they begin to attack each other in the room. Steve grabs Vickie atop the bed, almost ripping her dress off. Suddenly excited, Steve tries to have sex with her, but can't undo his trouser zip. Vickie responds, ""My god, my one chance to be raped, and you can't get your bloody trousers off."" The two collapse laughing and their relationship blossoms over the remainder of the holiday.
Walter and Patty notice their blossoming relationship, and Walter confides to Steve that he had a similar holiday romance. Walter warns that it won't work out, knowing Steve won't be able to leave his wife and kids.
Steve decides that he still wants to see Vickie when they get back to London. They get a secret flat together, in a building occupied by ""French"" prostitutes. Steve and Vickie find opportunities to meet secretly. Steve takes the dog for a walk to go join her, but on returning home forgets the dog. On another occasion he sneaks out during the symphony, then comes back wearing golf socks, claiming his kids must have mixed his stuff up.
Gradually, the relationship becomes more complicated. Vickie is going to a lot of effort to be with him. Steve comes around for sex after a baseball game in the park, but must leave in a hurry, not knowing that she has prepared a lavish meal. Vickie, wanting some human companionship, invites her gay co-worker Cecil (Michael Elwyn) to spend the day with her, but he's not available. Steve, feeling guilty for rushing off, gets flowers and takes them back to Vickie, finding her in the kitchen sitting in front of the meal she made. Steve leaves without saying a word.
Vickie cancels lunch with him. Steve's co-workers are aware something's going on: secretary Derek (Ian Thompson) asking if he is having a ""short lunch or a long lunch"". He arranges to meet with her in the evening, despite having a very heavy workload, forgetting that he is attending the theatre with his wife. When his wife then calls demanding to know why he is late for the Harold Pinter play, he tries to call Vickie, but is unable to reach her. Vickie sees Steve and Gloria at the theatre together as she is out shopping for the meal she is cooking. When Steve eventually turns up at their flat, he tells Vickie he has been working late, but she confronts him about the theatre. Eventually she breaks down and sits quietly at the table, concerned that she is ""beginning to sound like a wife"".
The next morning Steve sends a telegram to the flat for Vickie, telling her that it is over between them. However, on returning home later he changes his mind, and runs out the door. Vickie, however has been given the telegram, which he thought had been cancelled, and begins packing her belongings to leave. When Steve gets to the flat, having bought food to cook for them, he finds a record playing and Vickie gone. Looking out the window he sees her standing at the bus stop. He bangs on the window to get her attention but she doesn't seem to notice and gives up waiting for a bus. She walks along and hails a taxi, which another man hails down in an echo of Vickie and Steve in the beginning of the film. Vickie asks the man, who is handsome and smiles, if he is married. When he says yes, Vickie walks off and leaves him the taxi."
Swapner Feriwala,"Swapner Feriwala is a soothing fantasy in the pursuit of the last magical charms in our modern, urban lives. It's a symbolic story of youthful and vigorous rebellion against age-old orthodoxy and religious fanaticism and a clarion call to set everyone free of blind prejudices.
Saritsekhar Roychowdhury, the old descendant of a renowned family, gets obsessed with the attainment of spiritual emancipation and brings a ""godman"" (Dipankar De) to the house to help him find the true way to freedom. The latter him the confidence of everyone in the family through his Tantra tricks and promises the childless couple a child within a year.
Som (Subrat Dutta) an iconoclast magician and his friend, a fellow magician named Ferdoup Siddhartha, have devoted their lives to uncover the magic rackets fooling people with petty magic tricks. Som is an enigma, while Siddhartha believes the magic to pervade the beauty of nature, the vastness of the universe, the beautiful movements of togetherness and entire human existence. He wants only to drink the elixir of life and insists Som stop hankering after an elusive goal. The evil godman plots to seize the Roychowdhury house from Sanitsekhar and lay his hands on young, pretty Turni (Nilanjana Sharma), the only granddaughter of Saritsekhar, who lost her parents at an early age.
Som and Sidhartha befriend Turni and warn her about the upcoming danger in her life. The godman reduces the woman in his aid and entrusts upon her the duty to keep an eye on Turni and to lure her closer to him. Turni escapes their evil plans with the help of the magician duo at first but soon she feels to be at her wit's end when her grandfather donates his house to the godman to build an ashram there. She could not settle elsewhere like her two uncles, being financially dependent on her grandfather. The satanic duo threatens Turni to follow their instructions to stay at the ashram and finally traps her and gets her intoxicated. As the sinister godman pounces upon her, the magician duo comes at her rescue and brings her to consciousness. The godmen fly away while the trio set on a journey.
By then, Turni has fallen for Som while Siddhartha loves her with his whole heart. When she reveals her feeling to Som, he resists her and leaves to follow his destiny. Siddhartha consoles the bereaved Turni and promises to stay with her forever. She recognises her true love in Siddhartha with the help of the magical hourglass, given by her mother and together they start a new journey."
Grave of the Fireflies,"On September 21, 1945, shortly after the end of World War II, a teenage boy, Seita, dies of starvation in a Kobe train station. A janitor sorts through his possessions and finds a candy tin, which he throws into a field. The spirit of Seita's younger sister, Setsuko, springs from the tin and is joined by Seita's spirit and a cloud of fireflies. They board a train.
Some months earlier, Seita and Setsuko's house is destroyed in a firebombing along with most of Kobe. They are unharmed, but their mother dies from burns. Seita and Setsuko move in with a distant aunt, who convinces Seita to sell his mother's kimonos for rice. Seita retrieves supplies he buried before the bombing and gives everything to his aunt but a tin of Sakuma drops. As rations shrink and the number of refugees in the house grows, the aunt becomes resentful of the children, saying they do nothing to earn the food she prepares.
Seita and Setsuko leave and move into an abandoned bomb shelter. They release fireflies into the shelter for light. The next day, Setsuko is horrified to find that the insects have died. She buries them in a grave, asking why they and her mother had to die. As they run out of rice, Seita steals from farmers and loots homes during air raids, for which he is beaten. When Setsuko falls ill, Seita takes her to a doctor, who explains that she is suffering from malnutrition but offers no help.
In a panic, Seita withdraws all the money in their mother's bank account. As he leaves the bank, he becomes distraught when he learns that Japan has surrendered. He also learns that his father, a captain in the Imperial Japanese Navy, is probably dead, as most of Japan's navy has been sunk.
Seita returns to the shelter with a large quantity of food, but finds Setsuko hallucinating. He hurries to cook, but she dies as he finishes preparing the food. Seita cremates Setsuko's body and her stuffed doll in a straw casket. He carries her ashes in the candy tin along with his father's photograph.
Seita and Setsuko's deceased spirits arrive at their destination, healthy and happy, and sit on a bench surrounded by fireflies overlooking present-day Kobe."
